moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
1,97.5956,-9.11067,-39.6871,57.9085,-8.35777,15,11,21.8785,21.811,230.136,0.0382873,0.0381693,1.06233,1.01952
2,95.3616,-9.41282,-38.268,57.0936,-8.25074,13,16,18.2818,19.3422,281.081,0.0319932,0.0338489,1.27587,1.37758
3,98.018,-9.40943,-39.5996,58.4184,-8.2845,11,14,17.92,20.1042,305.903,0.03136,0.0351824,1.27118,1.26698
4,94.638,-7.13072,-40.1883,54.4497,-8.23894,13,15,16.3263,16.8072,294.476,0.0285711,0.0294126,1.25129,1.41288
5,100.382,-10.7739,-39.4169,60.9648,-8.30579,14,10,16.5864,17.6288,306.595,0.0290261,0.0308503,1.32728,1.24101
6,99.4102,-9.48098,-40.2241,59.1861,-8.32006,13,13,15.2445,15.0041,364.721,0.0266779,0.0262572,1.35363,1.47035
7,98.1922,-11.3432,-37.7529,60.4393,-8.35293,11,12,16.9288,18.1753,288.722,0.0296253,0.0318069,1.35043,1.44297
8,98.6542,-10.0073,-39.3198,59.3344,-8.30335,13,15,17.1119,18.3428,264.091,0.0299458,0.0320999,1.3259,1.21008
9,96.7744,-11.1183,-37.2688,59.5055,-8.32232,12,13,17.0037,17.8835,307.183,0.0297565,0.0312961,1.38988,1.21747
10,103.974,-10.9895,-40.9973,62.9764,-8.33412,13,13,15.203,17.9628,337.758,0.0266052,0.0314349,1.47935,1.41316
11,95.5718,-12.2956,-35.4904,60.0815,-8.26085,11,15,15.1966,15.0113,360.719,0.0265941,0.0262698,1.53141,1.48953
12,97.881,-12.3961,-36.5444,61.3365,-8.33373,12,14,16.1819,16.9869,287.854,0.0283184,0.029727,1.48464,1.23349
13,96.8475,-10.8943,-37.5294,59.3181,-8.28565,16,14,15.5118,17.3146,319.869,0.0271456,0.0303005,1.3611,1.27828
14,96.7999,-10.0873,-38.3126,58.4872,-8.18686,17,15,15.1093,15.2819,352.231,0.0264412,0.0267434,1.50843,1.49692
15,98.9743,-11.2417,-38.2454,60.7289,-8.26243,16,14,15.8626,15.5734,336.32,0.0277596,0.0272534,1.5326,1.42519
16,96.4168,-12.2639,-35.9445,60.4723,-8.36523,15,11,16.3883,17.2291,288.453,0.0286796,0.0301509,1.57785,1.38221
17,98.2995,-12.8248,-36.325,61.9745,-8.32484,15,11,16.2644,15.765,317.766,0.0284627,0.0275888,1.39655,1.2764
18,96.1912,-11.1503,-36.9453,59.2459,-8.27285,15,14,15.2687,14.776,346.432,0.0267202,0.025858,1.53285,1.53493
19,98.7282,-11.1519,-38.2122,60.516,-8.25564,14,13,14.8486,15.2438,343.847,0.0259851,0.0266767,1.38388,1.37836
20,97.5571,-10.9621,-37.8164,59.7407,-8.23917,14,15,14.3113,14.567,405.441,0.0250447,0.0254922,1.53074,1.40431
21,98.909,-12.4372,-37.0173,61.8917,-8.15698,14,15,16.2464,16.2124,333.865,0.0284312,0.0283718,1.49186,1.36067
22,99.3839,-12.3564,-37.3355,62.0484,-8.27126,17,13,14.9292,14.4146,358.085,0.0261262,0.0252256,1.4888,1.54719
23,95.7671,-11.8079,-36.0757,59.6915,-8.23446,14,15,15.9235,14.4974,353.772,0.0278661,0.0253705,1.52126,1.53926
24,94.3842,-11.0609,-36.1312,58.253,-8.14857,17,18,14.6256,14.2333,343.942,0.0255949,0.0249082,1.43441,1.34412
25,96.0785,-12.6045,-35.4347,60.6437,-8.26512,15,13,14.4927,15.2439,372.771,0.0253623,0.0266768,1.46803,1.49699
26,102.102,-10.3035,-40.7477,61.3548,-8.18111,13,15,13.5655,13.825,415.075,0.0237396,0.0241937,1.64117,1.73784
27,93.7728,-10.8113,-36.0751,57.6977,-8.14728,15,18,14.9991,13.6639,396.671,0.0262485,0.0239119,1.41896,1.36213
28,97.2407,-11.4568,-37.1635,60.0772,-8.16421,14,16,14.3745,16.374,362.251,0.0251553,0.0286545,1.42767,1.3319
29,99.6337,-11.8221,-37.9947,61.639,-8.24263,12,12,14.8722,16.1701,374.306,0.0260263,0.0282976,1.37621,1.43664
30,98.5175,-10.0293,-39.2294,59.2881,-8.17116,15,17,13.5263,14.6641,411.726,0.023671,0.0256622,1.587,1.5626
31,98.8293,-11.631,-37.7837,61.0456,-8.22574,14,15,14.4837,14.031,369.355,0.0253465,0.0245543,1.36228,1.40781
32,95.7366,-12.0914,-35.7769,59.9598,-8.28863,13,13,16.0073,15.8126,353.61,0.0280128,0.027672,1.5189,1.45963
33,99.1303,-12.2862,-37.2789,61.8514,-8.28424,18,13,14.392,17.6353,338.62,0.0251859,0.0308617,1.39998,1.36595
34,97.4019,-13.4816,-35.2194,62.1825,-8.26622,15,19,15.3626,14.5307,370.014,0.0268845,0.0254287,1.4056,1.33324
35,99.6891,-13.7499,-36.0946,63.5945,-8.27737,12,13,16.5532,15.8942,377.862,0.028968,0.0278148,1.54982,1.54467
36,99.8876,-10.2269,-39.717,60.1707,-8.2806,15,15,16.2415,17.0584,308.839,0.0284227,0.0298521,1.46362,1.33651
37,98.8551,-14.6479,-34.7796,64.0755,-8.29916,14,13,18.0411,16.6372,289.188,0.0315719,0.029115,1.26483,1.2565
38,101.488,-14.5073,-36.2367,65.2513,-8.33844,13,11,15.6028,15.8878,346.976,0.0273049,0.0278037,1.5484,1.47088
39,99.6479,-13.0371,-36.7869,62.861,-8.25685,13,13,16.7183,16.3815,327.126,0.0292571,0.0286677,1.37741,1.42096
40,96.5635,-12.7506,-35.5311,61.0324,-8.22713,13,14,16.9653,15.562,345.565,0.0296892,0.0272336,1.40522,1.51535
41,96.341,-13.1002,-35.0703,61.2707,-8.25426,13,15,17.5799,15.5282,360.178,0.0307648,0.0271744,1.50133,1.36878
42,100.773,-12.0664,-38.3202,62.453,-8.31393,12,13,15.7433,15.3173,332.494,0.0275508,0.0268053,1.3573,1.41608
43,98.521,-14.9148,-34.3457,64.1753,-8.31673,13,11,16.8724,16.99,354.922,0.0295267,0.0297326,1.37859,1.40243
44,95.4538,-14.3681,-33.3588,62.095,-8.2179,12,13,15.4843,15.0761,347.432,0.0270975,0.0263831,1.62126,1.49877
45,99.5773,-13.5237,-36.265,63.3123,-8.2385,14,14,14.0761,13.4785,395.564,0.0246332,0.0235873,1.65808,1.50425
46,97.8675,-13.0787,-35.855,62.0125,-8.3587,11,14,14.4441,17.188,316.157,0.0252771,0.030079,1.4313,1.3498
47,95.5498,-14.2862,-33.4887,62.0611,-8.27466,14,14,14.8066,14.8644,380.499,0.0259115,0.0260126,1.38298,1.45348
48,96.818,-14.3788,-34.0302,62.7879,-8.27681,14,11,16.0836,15.2113,323.173,0.0281463,0.0266198,1.34783,1.42897
49,99.2525,-15.8793,-33.7469,65.5056,-8.37738,14,6,12.7322,17.9636,404.155,0.0222813,0.0314363,1.74526,1.31108
50,96.6484,-15.0007,-33.3235,63.3249,-8.24969,15,14,16.1621,19.4438,333.861,0.0282837,0.0340267,1.46104,2.78204e-06
51,-6.9269,-61.0663,64.5298,57.6029,-8.34543,13,13,14.3044,16.6715,277.142,0.0250326,0.0291751,1.79408,1.51118
52,-2.889,-60.9459,62.3904,59.5014,-8.27063,17,11,18.4586,21.6224,274.652,0.0323026,0.0378391,1.34966,1.52557
53,-7.08207,-60.2424,63.7834,56.7013,-8.26228,19,15,19.0972,17.1216,244.525,0.03342,0.0299627,0.869966,1.12542
54,-7.65734,-61.2682,65.0968,57.4395,-8.30061,13,12,18.66,17.9192,275.909,0.0326551,0.0313587,1.23417,1.31206
55,-3.11452,-60.1925,61.7498,58.6353,-8.24076,16,17,16.0592,18.2861,290.332,0.0281037,0.0320006,1.20619,1.12423
56,-1.5182,-61.6491,62.4082,60.89,-8.29094,15,16,16.2718,17.7358,311.917,0.0284757,0.0310377,1.38037,1.29598
57,-4.49898,-60.1123,62.3618,57.8628,-8.28916,14,16,15.9257,16.666,318.862,0.0278701,0.0291655,1.4369,1.47253
58,-4.46881,-61.1033,63.3377,58.8689,-8.2464,18,13,16.3065,16.6478,291.119,0.0285364,0.0291336,1.4174,1.50501
59,-3.61497,-59.8517,61.6592,58.0442,-8.22137,19,14,14.6875,16.7569,321.664,0.0257031,0.0293246,1.29913,1.42889
60,-5.97173,-59.4677,62.4536,56.4819,-8.24388,17,14,15.533,17.0554,301.69,0.0271828,0.029847,1.18494,1.29587
61,-5.89608,-61.0398,63.9878,58.0918,-8.30055,11,15,15.1517,15.9131,380.381,0.0265155,0.027848,1.46531,1.61087
62,-2.08376,-60.3055,61.3473,59.2636,-8.28225,15,13,15.8821,17.2649,317.723,0.0277937,0.0302136,1.43718,1.51442
63,-4.97544,-60.682,63.1698,58.1943,-8.27219,16,14,16.0214,16.7843,296.067,0.0280375,0.0293725,1.47274,1.40571
64,-4.144,-59.7888,61.8608,57.7168,-8.26715,10,13,15.8524,14.7516,349.773,0.0277417,0.0258152,1.59738,1.64506
65,-4.09068,-60.9666,63.0119,58.9212,-8.16482,16,16,15.3886,15.0324,320.868,0.0269301,0.0263068,1.39728,1.44832
66,-6.74521,-61.6662,65.0388,58.2936,-8.31987,12,12,20.2819,15.3362,341.935,0.0354934,0.0268384,1.65687,1.4836
67,-9.38909,-60.6728,65.3674,55.9783,-8.14815,15,20,14.762,13.8768,417.495,0.0258336,0.0242845,1.49111,1.46658
68,-3.59991,-59.6737,61.4736,57.8737,-8.09707,23,12,14.6206,13.8672,405.062,0.0255861,0.0242676,1.26989,1.71534
69,-8.6031,-63.1159,67.4175,58.8144,-8.25492,12,12,14.3902,14.8316,388.63,0.0251829,0.0259553,1.44462,1.50504
70,-9.90795,-61.4724,66.4264,56.5184,-8.19283,17,12,15.2071,14.3681,357.965,0.0266125,0.0251442,1.36498,1.64929
71,-9.1923,-59.8905,64.4866,55.2944,-8.20934,16,17,14.9111,14.0139,381.502,0.0260944,0.0245243,1.51118,1.57729
72,-5.94879,-61.8128,64.7872,58.8384,-8.14186,15,18,13.9473,13.1337,438.494,0.0244078,0.022984,1.65912,1.35011
73,-9.04287,-59.9409,64.4623,55.4194,-8.15445,20,16,13.1384,13.023,436.373,0.0229923,0.0227903,1.40966,1.48818
74,-6.01512,-62.6276,65.6352,59.6201,-8.17478,15,13,12.5287,14.7781,443.637,0.0219252,0.0258616,1.68899,1.14256
75,-7.43411,-60.1838,63.9008,56.4667,-8.19532,17,14,11.9565,14.1237,422.846,0.0209239,0.0247165,1.77282,1.47105
76,-9.72622,-60.2613,65.1244,55.3982,-8.18062,14,18,12.7733,12.7501,470.3,0.0223533,0.0223127,1.75269,1.49831
77,-7.55913,-60.5305,64.31,56.7509,-8.19138,15,13,12.6881,14.4785,441.72,0.0222042,0.0253374,1.41168,1.63548
78,-5.39859,-60.78,63.4793,58.0807,-8.24118,15,14,14.1098,13.4059,408.699,0.0246922,0.0234603,1.32716,1.57109
79,-103.98,-11.7788,63.7686,-40.211,-8.20885,13,17,13.6199,13.5717,417.121,0.0238348,0.0237504,1.50347,1.41866
80,-102.927,-14.4205,65.8843,-37.0432,-8.24799,13,12,13.7568,15.369,416.334,0.0240744,0.0268958,1.5083,1.1328
81,-5.91276,35.7083,-32.7519,-38.6647,-8.24762,13,13,14.6549,14.4821,455.551,0.025646,0.0253437,1.33184,1.73351
82,-5.30723,37.181,-34.5274,-39.8347,-8.12094,12,13,15.0634,15.2813,446.348,0.0263609,0.0267424,1.21315,1.33176
83,-8.59463,36.9527,-32.6554,-41.25,-8.21121,15,15,14.3991,13.6731,463.885,0.0251984,0.0239279,1.29732,1.563
84,-6.4097,36.2598,-33.0549,-39.4647,-8.1969,12,15,14.376,13.258,428.068,0.025158,0.0232015,1.05452,1.44113
85,-4.04058,36.0306,-34.0103,-38.0509,-8.16849,16,13,13.9449,14.5444,493.048,0.0244035,0.0254527,1.38359,1.5452
86,-8.36787,35.4831,-31.2992,-39.667,-8.24371,13,14,14.9825,14.9317,381.326,0.0262193,0.0261305,1.12655,1.45159
87,-3.91168,36.6576,-34.7018,-38.6135,-8.22679,14,14,14.014,15.1225,431.455,0.0245245,0.0264644,1.51131,1.20523
88,-7.02431,36.6582,-33.146,-40.1703,-8.22448,14,13,14.3819,15.795,460.773,0.0251683,0.0276412,1.40659,1.27394
89,-6.24167,35.1995,-32.0787,-38.3204,-8.24327,13,12,16.8923,16.4194,463.282,0.0295616,0.0287339,1.11817,1.01685
90,-7.98068,34.862,-30.8717,-38.8524,-8.18748,13,12,15.3621,16.0421,438.984,0.0268837,0.0280738,1.38376,1.2916
91,-4.67321,34.717,-32.3804,-37.0536,-8.17613,12,16,15.6995,16.0258,428.338,0.0274741,0.0280451,1.27222,1.1236
92,-1.92763,36.3089,-35.3451,-37.2727,-8.18577,16,12,15.2109,17.9515,334.042,0.0266191,0.0314152,1.48362,0.812555
93,-3.24797,35.0506,-33.4267,-36.6746,-8.29845,11,14,17.2504,17.9814,314.284,0.0301882,0.0314675,1.18922,0.843357
94,-8.28673,34.9768,-30.8334,-39.1201,-8.3651,12,15,17.1594,17.2148,322.653,0.030029,0.0301259,1.47707,1.32332
95,-5.2884,36.0854,-33.4412,-38.7296,-8.32002,14,13,20.2348,20.1253,267.564,0.0354109,0.0352193,1.11524,0.873631
96,-3.7278,36.2518,-34.3879,-38.1157,-8.27798,17,14,16.1925,18.5677,275.44,0.0283368,0.0324935,1.19498,1.16825
97,-5.24943,37.2432,-34.6185,-39.8679,-8.33694,15,14,17.7376,16.6919,299.484,0.0310407,0.0292108,1.44006,1.40503
98,-5.02442,38.0063,-35.4941,-40.5185,-8.35297,12,14,15.6718,15.7844,331.395,0.0274256,0.0276227,1.31729,1.38266
99,-5.20772,36.6009,-33.9971,-39.2048,-8.37054,11,13,18.0549,18.8539,290.208,0.031596,0.0329943,1.54064,1.37476
100,-3.51697,36.4578,-34.6993,-38.2162,-8.44626,12,13,17.0949,21.1645,279.018,0.0299161,0.0370379,1.19752,1.11492
101,97.5493,14.7334,-63.508,34.0412,-7.87989,16,20,13.5599,13.4285,385.923,0.0237298,0.0234999,2.25859,1.94061
102,98.0782,13.8952,-62.9343,35.1439,-7.91244,18,15,13.8702,14.6788,376.973,0.0242728,0.025688,1.76005,1.68971
103,110.51,19.9192,-75.1742,35.3358,-8.02527,14,15,14.6282,14.4153,374.851,0.0255993,0.0252268,1.44443,1.50953
104,97.9266,14.3356,-63.2989,34.6277,-8.12401,12,14,14.4771,13.8769,433.263,0.0253349,0.0242846,1.57649,1.67713
105,100.03,12.8968,-62.9116,37.1181,-7.96984,15,14,14.0871,13.7581,388.828,0.0246525,0.0240767,1.52623,1.50021
